0,好
1,很快就到了买来准备更新路由器固件然后发现已经是最新的好评速度还可以有时候会掉线不知道路由器问题还是光猫问题
2,不错
4,很好
5,还可以啦
6,很好用不错
7,很好不错快递给力
8,好用的路由器
9,小巧便携网速好距离传输远不错的选择
10,产品很好用
11,给家里买的不过还可以吧2333333
12,外观很好看品牌值得信赖
13,速度挺快
14,很好用啊TP-LINK大品牌值得信赖买了很多个了
15,不错大品牌值得信任
16,漂亮稳定
17,路由器还是tp的用起巴适
18,信号很好很不错很满意
19,东西很好卖的那么多必然是经典一如既往的好用
21,比原来的快多了 速度真的1非常快
22,物流给力效果很好安装方便
23,美观大方很实用 安装简单
24,这个是帮办公室买的物美价廉还行
25,家里使用 非常牛逼的一款路由
26,还没有用
27,非常好
28,偶尔会断下网不影响使用
29,信号巨棒可以的
30,好好好第二次买了不错信号很好
31,买来送人的自己家也是用这个的
32,一级棒
33,一般信号不是特别强
34,路由器安装好了没什么问题希望能耐用
35,外观设计很好速度也很好别说人家东西不好关键还是看多少w的网线
36,也就那样
37,好呢好呢性价比高送根网线就更完美
38,京东的东西真的是越来越垃圾了去年买了一个喷墨机用了半年这个路由器用了一个多月也不能用了跟客服说网络连接不上客服也不理人差评
39,刚用几天效果还行吧
40,颜值很高网络也很稳定配置简单
41,
42,给力真好用比腾达快多啦
43,这个质量好轻松穿3墙支持普联
44,还不错信号比较稳定能穿墙
45,东西不错很好哦我很喜欢
46,一般般吧
47,给公司买的目前未发现问题
48,帮人买的用了几天觉得还是不错的
49,很好用很喜欢看着也漂亮信号不错&hellip&hellip&hellip&hellip&hellip&hellip&hellip&hellip
50,麻蛋什么东西&hellip设置密码&hellip就到这里设置不了了&hellip确定了一天还是这个鬼样子&hellip两个晚上了&hellip都在弄这个破东西了&hellip再不行退了&hellip保证以后再也不在这买路由器了&hellip
51,设置简单给工作的时候配的希望稳定
52,信号强好远能收到
53,买了好多次这个牌子了一直都是那么好
54,反应太慢一分钱一分货
55,使用还是很不错的只是偶尔会信号弱
56,买了装上了很棒
57,路由器穿墙信号有些衰减整体还是不错的
58,很好的东西很好用
59,办公室用的不需要拨号插上后更方便的设置密码网络连接很快加油点赞
60,用过一段时间才来评好
61,TPLINK大品牌京东正品保证好质量不错价格实惠
62,京东速度就是快好评
63,原本家里网总是断这回换了以后网络稳定的多
64,不错可以设置两种模式也比我以前用的信号要好一些
65,还不错
66,很好用网络传送很快速度快范围广容易设置
67,好好好好好好好好
68,一直选择京东比较放心是正品
70,感觉还可以待调试试用快递师傅很快很热心～
71,当天买 当天到 感谢快递小哥 那么晚也送 用了几天挺稳定的
72,东西功能强大很好用
73,给女朋友买的实体店便宜了也要一百三四贵的卖到一百七十多都有还是京东给力第二天上午准时送达
74,东西不错 信号挺好 一直信赖京东 继续支持
75,还不错性价比挺高的自动桥接方便的很
76,好评
77,还好
78,帮隔壁邻居买的 用了这么久没出现问题 也没说有啥不好的 应该不错啊 好评啊
79,简单粗暴 分分钟就设置好了 满意
80,大品牌送货快经济实惠
81,宝贝不错
82,送货员不满意
83,正常使用
84,穿墙王笑话隔一个房间信号就不行了
85,挺好的相信品牌
86,差评我包的100兆都卡的一塌糊涂以后再也不买了
87,冲着品牌去的价格也挺实惠
89,速度快态度好
91,真的用了这么长时间绝对没问题
92,不错速度一般
93,东西还不错
94,这个东西真的是很好不懂设置的人应该都会哦可以发送两个信号完美
95,不错不错很棒的一次购物体验
96,东西可以发货速度抉服务没的说
97,桥接老是掉线
98,帮人买的对方说很满意信号较强安装设置方便京东的发货和物流都很快
99,送货超级快
100,先给个满意还没有连接上网
102,挺好的
103,用起来不错信号强值得拥有
104,效果不好就隔了一个转角信号很不好
105,这个牌子是用过的路由器最好的关键是信号稳定
106,路由器非常好用第二次购买了信号强上网速度快
107,可以
109,不错很好凑够十个字了吧
110,很好用便宜便宜便宜
111,便宜送货很快 一直喜欢京东的物流
112,产品本身性价比不错外加外观也不错很满意希望可以用久点儿
113,使用效果总体不错
115,还可以
116,这快递不是一般的快啊很好
118,"发货送货都快
马上可以投入使用"
119,质量很好信号很好想再买个用用
120,刚到货女儿用了一下午看电视
122,单位使用中效果不错
123,真不错安装方便
125,帥到不得不得地
126,速度很快样子也挺好看的
127,东西信号稳定覆盖面很广
128,物流很快信号很好很漂亮
130,京东的服务好 东西也不贵 以后都这里买
131,不错TPLINK值得信赖
132,狠狠好
133,还没有用等用了再来追评
135,已经使用感觉安装挺简单很好用好评
138,一直用TP的好用实惠
139,很好实用
140,这是我买的第3个普联的路由器了用着一直很好
141,东西很好不错啊
142,路由器很好用价位也不贵
143,速度真快晚上订的   第二天就到了   还没用呢   用了在追加
144,不错的产品值得信赖
145,帮同事买的速度很快设置叶简单好评
146,用了不到十天相对原来的斐讯路由这个信号偶尔会出现不稳定上网看视频速度偶尔卡顿
147,颜色好看性价比很高好
148,TP LINK 的路由器大品牌质量好网速稳定
150,不错的还行
151,目前用起来不错就看后面怎么样总体不错
152,还可以性价比高
153,啦咯啦咯啦咯啦咯啦咯了
154,一般家用还是可以的
155,卖家怎么没有开发票呢
156,稳
157,路由器设置方便无线信号强值得购买
158,不错换了新的网速感觉确实快了
159,比较方便比较划算信赖京东商城
160,穿墙效果还是不好  卧室市场掉线哎~
161,网上买的优惠多了价格便宜速度又快早知道第一个在网上买就好了买的一模一样
162,简单方便
163,还没用呐
164,帮朋友买的一直使用这个牌子的路由不错
165,信号不好 总是掉线
166,还行
167,不错挺好用的目前没有发现问题
168,好东西
169,一直没用呢
170,好棒
172,信号很好物流很给为
173,挺不错的一款路由器到了就自己安装了信号也不错期待^&omega^寿命
175,买了三个家里面几乎都用这个不错信号也很好值得推荐
176,很好信号也比较稳定
177,家里的坏了换了个新的穿墙速度信号都很好总之好用
179,信号很稳定不愧是牌子货以后需要还来买
180,刚用两天目前还暢通順暢
181,几天使用下来OK信号稳定京东质量可靠不错的购物
182,还是一如既往的好
183,第二个了一如既往的好京东我信赖
184,看起来不错用着还行网速可以
185,还没有用呢
186,一如既往地好
187,发货神速设置简单很满意
188,性能不错穿墙可以四道墙也有信号
190,用着非常好值得买
191,操作简单觉得挺好的送货速度快
192,穿墙性能还行设置简单初始部署简便提供标签贴纸很实用
194,用的挺好的
195,很一般
196,好的
197,家里的路由器都是这个牌子设置也简单
198,看评论买的还没用用过以后在来评价
199,还在用
200,前面一个老掉线设置什么参数不起作用换了一个比之前好些
201,挺漂亮的效果还过得去吧
203,服务不错有问题电话直接解决了
204,很好用设置简单信号好
205,信号强比以前那个强多了
206,还没开始用
207,好用信赖京东品质
208,老是掉线不知道是网络问题还是路由器问题
209,暂时用的挺好
210,用着挺好的～家里装修好多东西都是京东买的目前都比较满意哦
211,用了一段时间还行比我那个信号好多了给五星
212,很好第二次买了
213,一分价钱一分货
214,可以实物也非常好看物超所值
216,很好很满意
218,短时间内已经是第2个买了一个自己用一个朋友用大家都说这款好
219,产品质量还可以但邮政快递太慢八天后才收到货
220,真心不错信号特别强
221,比之前买的59的腾达稍强一些但也不是太尽人意100M光纤91的小三房关上门就不行了
222,还不错用着看吧
223,用了两天再评价的不错满分
224,速度太快了感谢快递员辛勤的努力
227,还行吧
228,好用
229,正在使用中不过我总觉得好像不太稳定继续观察后再说吧
230,不错的选择我是Hao Fu我是Hao Fu我是Hao Fu我是你自己不想
232,为了装宽带买的结果路由器来了宽带没装好朋友说买过多次了效果都不错这个还没试不知道效果怎么样
233,不错挺呵呵 就是这个品牌
234,效果很好
235,东西蛮好穿墙也不错物流给力
236,非常不错比店里便宜用起来还不错
237,颜色不错使用感觉还不错
239,家里边正在用不知道抗不抗造
240,信号很强给宿舍买的
243,拿回去就用了下设置挺方便的tplinkId感觉没啥用啊有多台里面看不到其他的路由器状态
244,东西不错发货速度秒到
245,路由器很好信号很强
247,太卡了看电视随时缓存
248,东西还是很不错的价格也合理
249,目前还不错就是不知道以后会咋样啦当天买第二天就到赞
251,又快又好不错
252,挺不错的
253,挺好用的终于不掉线了
254,好用   第二个了
255,好用美观
256,不错很快一居室够用了
258,城里商品房用的就是这款路由器性能非常稳定这次再买一台放在乡下别墅里果然穿墙能力强路由器放在别墅楼上大厅里楼下小房间的信号是满格现在就认准TP-LINK这个品牌了好
